"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH1"
"905",0.07,"W 13TH AVE","W","5  Major Collector",30,4,2,10,7900,1,1.61
"906",0.05,"W YALE AVE","W","4  Minor Arterial",36,1,2,10,9100,3,0.05
"907",0.1,"S QUEBEC WAY","S","5  Major Collector",24,1,2,11,4700,3,0.15
"908",0.08,"W 38TH AVE","W","4  Minor Arterial",68,4,4,10,21000,3,0.87
"909",0.06,"S LOGAN ST","S","4  Minor Arterial",62,1,2,10,12000,3,0.12
"910",0.07,"E 26TH AVE","E","5  Major Collector",36,2.5,2,10,5900,3,0.52
"911",0.13,"E EXPOSITION AVE","E","5  Major Collector",36,4,2,11,8000,3,0.61
"912",0.06,"E JEWELL AVE","E","5  Major Collector",36,4,2,11,3400,3,0.81
"913",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",65,1,4,10,39000,1,1.5
"914",0.08,"E ILIFF AVE","E","5  Major Collector",32,4,2,10,4100,3,1.62
"915",0.05,"W FLORIDA AVE","W","4  Minor Arterial",44,4,4,10,12000,1,2.32
"916",0.15,"W 8TH AVE","W","4  Minor Arterial",50,4,4,10,11000,3,4.2
"917",0.06,"E HAPPY CANYON RD","SE","5  Major Collector",48,4,2,10,8400,3,0.3
"918",0.05,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,22000,3,2.35
"919",0.04,"N BROADWAY","N","3  Principal Arterial - Other",66,2.5,5,10,21000,1,0.99
"920",0.03,"E 47TH AVENUE DR","NE","5  Major Collector",36,4,2,10,2100,3,0.561
"921",0.04,"N LINCOLN ST","N","3  Principal Arterial - Other",62,4,4,10,23000,2,0.9
"922",0.14,"N TEJON ST","N","5  Major Collector",36,4,2,18,990,3,0.39
"923",0.01,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other",68,4,4,12,20000,3,0.21
"924",0.09,"E 17TH AVENUE PKWY","E","5  Major Collector",152,4,4,10,19000,3,0.2
"925",0.06,"E 23RD AVE","E","4  Minor Arterial",48,4,3,10,11000,3,2.85
"926",0.04,"N DOWNING ST","N","4  Minor Arterial",48,4,2,10,4700,3,1.669
"927",0.07,"W DARTMOUTH AVE","W","5  Major Collector",48,4,2,12,12000,1,1.75
"928",0.1,"E 56TH AVE","E","3  Principal Arterial - Other",24,4,2,12,19000,2,5.5
"929",0.05,"W FLORIDA AVE","W","4  Minor Arterial",48,4,4,10,12000,1,2.66
"930",0.08,"W MISSISSIPPI AVE","W","4  Minor Arterial",48,1,4,10,13000,3,0.38
"931",0.03,"W ALAMEDA AVE","W","3  Principal Arterial - Other",52,4,5,10,28000,1,0.13
"932",0.05,"S SYRACUSE WAY","S","4  Minor Arterial",24,4,2,10,10000,3,0.645
"933",0.05,"E 1ST AVE","E","4  Minor Arterial",32,4,2,11,6700,3,0.205
"934",0.06,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,2.965
"935",0.09,"N CORONA ST","N","4  Minor Arterial",32,2.5,2,10,4300,3,0.38
"937",0.08,"N UNIVERSITY BLVD","N","4  Minor Arterial",36,4,3,12,14000,2,0.24
"938",0.01,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,23000,3,1.71
"939",0.1,"W 35TH AVE","W","5  Major Collector",32,4,2,12,630,3,0.83
"940",0.11,"S DAHLIA ST","S","5  Major Collector",36,1,2,10,540,2,0.22
"941",0.05,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,30000,0,0.45
"942",0.07,"N LINCOLN ST","N","3  Principal Arterial - Other",72,4,4,10,21000,1,1.8
"943",0.02,"DELGANY ST","NE","5  Major Collector",26,1,2,14,4900,3,0.18
"944",0.1,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",78,4,6,10,35000,3,0.1
"945",0.02,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,30000,0,0.53
"946",0.11,"N LOGAN ST","N","4  Minor Arterial",32,4,2,10,6000,3,1.06
"947",0.01,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial",26,2.5,2,12,11000,2,0.7
"948",0.06,"S GLENCOE ST","S","5  Major Collector",36,4,2,12,510,2,0.22
"949",0.07,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",44,4,4,10,40000,1,0.2
"950",0.07,"W MISSISSIPPI AVE","W","4  Minor Arterial",48,4,4,10,13000,3,1.98
"951",0.06,"W 35TH AVE","W","5  Major Collector",32,4,2,10,630,3,0.12
"952",0.02,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.12
"953",0.07,"E MISSISSIPPI AVE","E","5  Major Collector",32,4,2,12,1200,3,0.49
"954",0.06,"LARIMER ST","NE","4  Minor Arterial",33,4,3,11,3000,0,0.06
"955",0.07,"N PEORIA ST","N","3  Principal Arterial - Other",48,4,4,12,40000,3,0.28
"956",0.08,"E BUCHTEL BLVD","SE","5  Major Collector",30,4,2,15,11000,3,0.25
"957",0.06,"LAWRENCE ST","NE","5  Major Collector",40,4,3,10,5300,3,2.165
"958",0.06,"N FOX ST","N","5  Major Collector",32,2.5,2,12,10000,3,0.42
"959",0.06,"E 1ST AVE","E","3  Principal Arterial - Other",62,4,6,10,41000,1,1.26
"960",0.03,"AURARIA PKWY","N","3  Principal Arterial - Other",20,4,6,11,34000,0,0.6
"961",0.03,"E BUCHTEL BLVD","SE","5  Major Collector",36,4,3,11,7600,1,0.11
"962",0.06,"W 1ST AVE","W","5  Major Collector",36,4,2,11,4500,3,0.59
"964",0.07,"W MISSISSIPPI AVE","W","5  Major Collector",36,4,2,10,7300,3,2.31
"965",0.05,"W LOUISIANA AVE","W","5  Major Collector",36,4,2,10,3900,3,1.16
"966",0.07,"W 50TH AVE","W","5  Major Collector",36,4,2,10,3700,3,0.78
"967",0.14,"S QUEBEC ST","S","4  Minor Arterial",70,4,4,11,21000,3,0.14
"968",0.085,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,2.485
"969",0.04,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other",20,4,6,10,66000,3,0.19
"970",0.01,"E VIRGINIA AVE","E","5  Major Collector",32,4,2,10,4700,3,0.79
"971",0.05,"E EVANS AVE","E","3  Principal Arterial - Other",48,4,4,12,29000,0,1.15
"972",0.08,"W 17TH AVE","W","5  Major Collector",28,4,2,12,7100,3,0.48
"973",0.18,"S YOSEMITE ST","S","4  Minor Arterial",36,4,4,11,23000,1,0.18
"974",0.02,"W 44TH AVE","W","5  Major Collector",40,4,2,10,7800,3,0.42
"975",0.09,"N WASHINGTON ST","N","4  Minor Arterial",32,4,2,10,5400,3,0.945
"976",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8700,1,2.51
"977",0.04,"20TH ST","NW","3  Principal Arterial - Other",36,1,5,10,26000,1,1.14
"978",0.04,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,10,18000,0,2.14
"979",0.05,"W SARATOGA PL","W","5  Major Collector",36,4,2,10,1800,3,0.525
"980",0.01,"S DOWNING ST","S","4  Minor Arterial",20,4,2,10,20000,3,1.7
"981",0.06,"E 17TH AVENUE PKWY","E","5  Major Collector",152,4,4,10,19000,3,0.98
"982",0.03,"N PEORIA ST","N","3  Principal Arterial - Other",54,4,4,11,43000,1,0.53
"983",0.09,"WELTON ST","NE","5  Major Collector",48,4,2,11,5600,3,1.07
"984",0.03,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,32000,1,0.25
"985",0.09,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,12,25000,0,2.49
"986",0.06,"E 26TH AVE","E","5  Major Collector",60,4,2,10,5400,3,1.46
"987",0.12,"N TENNYSON ST","N","5  Major Collector",40,4,2,10,4000,3,0.96
"988",0.07,"N PEORIA ST","N","3  Principal Arterial - Other",48,4,4,12,40000,3,0.37
"989",0.05,"W 32ND AVE","W","4  Minor Arterial",34,2.5,2,10,6700,3,0.83
"990",0.09,"WELTON ST","NE","5  Major Collector",48,4,2,11,5600,3,1.43
"991",0.07,"15TH ST","NW","4  Minor Arterial",52,2.5,5,10,11000,3,0.51
"992",0.08,"W 29TH AVE","W","4  Minor Arterial",36,4,2,10,8500,3,1.925
"993",0.11,"S SHERIDAN BLVD","S","4  Minor Arterial",100,4,4,10,13000,0,0.3
"994",0.014,"E 56TH AVE","E","3  Principal Arterial - Other",32,4,2,10,24000,2,1.5
"995",0.07,"E 31ST AVE","E","4  Minor Arterial",44,4,2,10,6500,2,0.56
"996",0.1,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,11,31000,1,1.6
"997",0.12,"W CLEAR CREEK DR","SW","5  Major Collector",78,4,2,12,1300,3,0.15
"998",0.01,"N TENNYSON ST","N","5  Major Collector",40,4,2,10,4000,3,1.08
"999",0.06,"S DAHLIA ST","S","5  Major Collector",48,4,2,12,4900,3,1.05
"1000",0.01,"E ALAMEDA AVE","E","4  Minor Arterial",30,4,2,12,23000,0,1.38
"1001",0.11,"W EXPOSITION AVE","W","5  Major Collector",36,4,2,15,3200,3,1.74
"1002",0.05,"AURARIA PKWY","NE","3  Principal Arterial - Other",44,1,3,12,32000,3,0.8
"1005",0.06,"E 13TH AVE","E","4  Minor Arterial",32,4,2,10,6900,3,2.9
"1006",0.05,"W EVANS AVE","W","3  Principal Arterial - Other",52,2.5,4,12,30000,0,0.5
"1007",0.01,"S EMERSON ST","S","4  Minor Arterial",32,4,1,12,1900,2,1.13
"1008",0.03,"S LOWELL BLVD","S","4  Minor Arterial",46,1,2,10,9400,3,0.36
"1009",0.02,"E EVANS AVE","E","3  Principal Arterial - Other",52,4,4,10,29000,0,1.8
"1010",0.1,"E 56TH AVE","E","3  Principal Arterial - Other",24,2.5,2,12,16000,2,4.9
"1011",0.04,"W MISSISSIPPI AVE","W","4  Minor Arterial",48,1,4,10,13000,3,1.16
"1012",0.07,"W 14TH AVE","W","5  Major Collector",36,4,2,11,12000,3,0.86
"1013",0.06,"E 23RD AVE","E","4  Minor Arterial",48,4,2,10,11000,3,2.07
"1014",0.12,"S HOLLY ST","S","5  Major Collector",36,4,2,10,13000,3,0.34
"1016",0.05,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,23000,3,2.1
"1017",0.02,"W 6TH AVE","W","3  Principal Arterial - Other",60,4,5,10,30000,0,0.4
"1018",0.07,"N DAHLIA ST","N","5  Major Collector",44,4,2,12,2600,3,1.07
"1019",0.06,"S TAMARAC DR","S","4  Minor Arterial",48,4,2,11,11000,0,0.43
"1020",0.06,"E YALE AVE","E","4  Minor Arterial",44,4,2,11,15000,3,0.47
"1021",0.07,"18TH ST","NW","4  Minor Arterial",66,4,4,10,8600,0,0.38
"1022",0.06,"W 6TH AVE","W","3  Principal Arterial - Other",60,4,5,10,30000,0,0.2
"1023",0.06,"22ND ST","NW","3  Principal Arterial - Other",48,2.5,3,10,21000,1,0.5
"1024",0.05,"W HARVARD AVE","W","5  Major Collector",36,4,2,11,1500,3,0.2
"1025",0.08,"E BUCHTEL BLVD","SE","5  Major Collector",30,4,2,15,11000,3,0.49
"1026",0.09,"N YORK ST","N","4  Minor Arterial",44,4,4,10,14000,0,1.61
"1027",0.06,"W 1ST AVE","W","5  Major Collector",48,4,2,11,6200,3,0.19
"1028",0.05,"E ANDREWS DR","SE","5  Major Collector",44,4,2,10,4900,3,2.34
"1029",0.05,"22ND ST","NW","3  Principal Arterial - Other",20,4,4,10,21000,1,0.05
"1030",0.09,"E 17TH AVENUE PKWY","E","5  Major Collector",152,4,4,10,19000,3,0.38
"1031",0.17,"N CROWN BLVD","NE","5  Major Collector",44,4,2,10,2600,3,1.11
"1032",0.04,"S ZUNI ST","S","5  Major Collector",44,4,2,12,3300,3,2.092
"1033",0.09,"N DOWNING ST","N","4  Minor Arterial",34,2.5,2,10,4700,3,1.019
"1034",0.04,"E 35TH AVE","E","5  Major Collector",34,4,2,11,4700,3,3.27
"1035",0.02,"E EVANS AVE","E","3  Principal Arterial - Other",52,4,4,10,29000,0,0.2
"1036",0.06,"13TH ST","NW","5  Major Collector",62,4,4,11,990,3,0.15
"1037",0.06,"N BROADWAY","N","3  Principal Arterial - Other",72,4,5,10,24000,1,3.27
"1038",0.06,"E 23RD AVE","E","5  Major Collector",34,2.5,2,10,11000,3,3.75
"1039",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other",44,4,4,10,26000,1,0.5
"1040",0.08,"N IRVING ST","N","5  Major Collector",28,1,2,11,4000,3,0.57
"1041",0.06,"E 24TH AVE","E","5  Major Collector",36,4,2,13,140,0,0.28
"1042",0.08,"W 35TH AVE","W","5  Major Collector",34,4,2,10,1800,3,0.6
"1043",0.06,"E EVANS AVE","E","3  Principal Arterial - Other",52,4,4,10,29000,0,0.18
"1044",0.12,"S DAHLIA ST","S","5  Major Collector",40,4,2,12,4900,3,0.74
"1045",0.06,"E ALAMEDA AVE","E","3  Principal Arterial - Other",52,4,4,10,25000,0,0.2
"1046",0.01,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,31000,1,0.71
"1047",0.12,"N LOGAN ST","N","4  Minor Arterial",32,4,2,10,6000,3,1.18
"1049",0.08,"N IRVING ST","N","5  Major Collector",28,1,2,11,4000,3,1.21
"1050",0.07,"E 35TH AVE","E","5  Major Collector",26,4,2,10,4700,3,2.24
"1051",0.06,"E MARTIN LUTHER KING BLVD","E","4  Minor Arterial",68,2.5,6,12,22000,1,2.27
"1052",0.06,"W JEWELL AVE","W","4  Minor Arterial",48,4,4,10,12000,0,1.29
"1053",0.02,"E ALAMEDA AVE","E","4  Minor Arterial",44,4,4,10,23000,0,0.32
"1054",0.09,"CURTIS ST","NE","5  Major Collector",48,4,3,12,4000,0,0.18
"1055",0.13,"E BUCHTEL BLVD","SE","5  Major Collector",76,4,4,11,8800,1,1.16
"1056",0.025,"E 40TH AVE","E","4  Minor Arterial",48,4,4,10,10000,0,1.485
"1057",0.06,"28TH ST","NW","5  Major Collector",36,4,2,12,550,3,0.5
"1058",0.055,"E 40TH AVE","E","4  Minor Arterial",44,4,4,10,10000,0,1.615
"1059",0.04,"N PEORIA ST","N","3  Principal Arterial - Other",34,4,4,10,10000,0,1.94
"1060",0.08,"N STEELE ST","N","5  Major Collector",40,4,2,10,6400,3,0.94
"1061",0.08,"ARAPAHOE ST","NE","5  Major Collector",40,2.5,2,12,1300,2,1
"1062",0.06,"E 14TH AVE","E","4  Minor Arterial",40,4,3,10,8700,1,0.53
"1063",0.07,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.97
"1064",0.06,"E 13TH AVE","E","4  Minor Arterial",36,4,2,10,2600,3,4.575
"1065",0.24,"E 56TH AVE","E","4  Minor Arterial",24,1,2,11,13000,3,0.24
"1066",0.08,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.48
"1067",0.06,"E HAPPY CANYON RD","SE","5  Major Collector",48,4,2,10,8400,3,0.6
"1068",0.04,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other",34,2.5,2,10,8100,3,0.7
"1069",0.039,"E 56TH AVE","E","3  Principal Arterial - Other",24,4,2,12,16000,2,5.139
"1070",0.01,"W 13TH AVE","W","5  Major Collector",50,4,2,10,7900,1,1.44
"1071",0.02,"N DAHLIA ST","N","5  Major Collector",40,1,2,10,5600,3,1.98
"1072",0.06,"E 19TH AVE","E","5  Major Collector",48,4,3,10,4600,1,0.59
"1073",0.06,"W 52ND AVE","W","4  Minor Arterial",28,4,2,10,6000,3,0.36
"1074",0.035,"N MONACO STREET PKWY","N","3  Principal Arterial - Other",154,4,4,10,30000,3,2.235
"1075",0.06,"E LOUISIANA AVE","E","5  Major Collector",40,2.5,2,10,3700,3,0.24
"1076",0.08,"N TEJON ST","N","5  Major Collector",32,4,2,10,4800,3,1.29
"1077",0.06,"W 1ST AVE","W","5  Major Collector",48,4,2,11,6200,3,0.99
"1078",0.04,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,5,10,29000,0,0.9
"1079",0.1,"W 35TH AVE","W","5  Major Collector",32,4,2,12,630,3,0.93
"1080",0.01,"N YORK ST","N","4  Minor Arterial",40,4,2,10,6700,3,3.89
"1081",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial",140,4,4,10,17000,1,0.33
"1082",0.25,"S TEJON ST","S","5  Major Collector",36,4,2,10,3000,3,1.21
"1083",0.06,"E ILIFF AVE","E","5  Major Collector",40,4,2,10,4100,3,2.51
"1084",0.08,"W 3RD AVE","W","5  Major Collector",36,4,2,10,4800,3,0.67
"1085",0.06,"E DARTMOUTH AVE","NE","5  Major Collector",44,1,2,12,4000,3,0.06
"1086",0.02,"STOUT ST","NE","4  Minor Arterial",48,4,2,12,4300,2,1.43
"1087",0.06,"W 46TH AVE","W","5  Major Collector",38,4,2,11,6500,3,1.04
"1089",0.03,"S DAYTON ST","S","5  Major Collector",40,4,2,12,8500,3,0.39
"1090",0.06,"E 17TH AVE","E","5  Major Collector",54,4,3,10,16000,3,1.13
"1091",0.06,"LARIMER ST","NE","4  Minor Arterial",33,4,2,11,3000,0,0.69
"1092",0.01,"N STEELE ST","N","5  Major Collector",40,1,4,10,19000,0,1.72
"1093",0.06,"E 17TH AVE","E","4  Minor Arterial",26,4,2,10,8500,3,1.24
"1094",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8700,1,2.45
"1095",0.03,"MARKET ST","NE","4  Minor Arterial",48,4,3,12,5500,0,0.4
"1096",0.06,"E 1ST AVE","E","5  Major Collector",40,4,2,10,4400,3,0.2
"1097",0.06,"ARAPAHOE ST","NE","5  Major Collector",48,4,4,11,6700,1,0.96
"1098",0.06,"S ZUNI ST","S","5  Major Collector",44,4,2,12,3300,3,2.272
"1099",0.07,"E 14TH AVE","E","4  Minor Arterial",40,4,3,10,8700,1,1.61
"1100",0.01,"CHAMPA ST","NE","4  Minor Arterial",36,4,1,12,7800,2,0.19
"1101",0.04,"N SYRACUSE ST","N","5  Major Collector",60,4,2,10,3400,3,1.93
"1102",0.07,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,10,27000,1,2.97
"1103",0.09,"STOUT ST","NE","4  Minor Arterial",48,1,3,10,9100,1,0.78
"1104",0.06,"E LOUISIANA AVE","E","5  Major Collector",40,2.5,2,10,3700,3,0.42
"1105",0.06,"E ALAMEDA AVE","E","3  Principal Arterial - Other",44,4,6,10,34000,0,1.96
"1106",0.07,"N YORK ST","N","4  Minor Arterial",40,4,2,10,6700,3,3.86
"1107",0.02,"W 38TH AVE","W","4  Minor Arterial",68,2.5,4,12,22000,1,2.265
"1108",0.03,"CHAMPA ST","NE","4  Minor Arterial",36,4,1,12,7800,2,0.39
"1109",0.06,"E MISSISSIPPI AVE","E","5  Major Collector",32,4,2,12,1200,3,0.06
"1111",0.01,"S EMERSON ST","S","4  Minor Arterial",32,4,1,12,1900,2,1.02
"1112",0.08,"E CHERRY CREEK SOUTH DR","E","4  Minor Arterial",24,1,2,10,6200,3,0.63
"1113",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other",40,1,3,10,31000,3,0.4
"1114",0.06,"E 35TH AVE","E","5  Major Collector",30,2.5,2,10,2100,3,1.33
"1115",0.03,"S EMERSON ST","S","4  Minor Arterial",32,4,1,12,1900,2,1.25
"1116",0.09,"N PEORIA ST","N","3  Principal Arterial - Other",84,4,6,11,32000,0,0.79
"1117",0.01,"W 44TH AVE","W","5  Major Collector",20,4,2,12,4100,3,0.19
"1118",0.08,"W 35TH AVE","W","5  Major Collector",34,4,2,10,1800,3,0.52
"1119",0.1,"N LOGAN ST","N","4  Minor Arterial",32,4,2,10,6000,3,1.28
"1121",0.03,"W 35TH AVE","W","5  Major Collector",34,2.5,2,12,630,3,1.38
"1123",0.1,"E MISSISSIPPI AVE","NE","3  Principal Arterial - Other",60,4,6,11,21000,0,0.3
"1124",0.08,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial",36,2.5,4,12,3200,0,3.845
"1125",0.16,"WALNUT ST","NE","4  Minor Arterial",40,4,4,10,11000,0,1.5
"1126",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8400,1,3.75
"1127",0.06,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,5,10,24000,1,0.18
"1128",0.1,"E 56TH AVE","E","3  Principal Arterial - Other",24,2.5,2,12,16000,2,4.6
"1129",0.045,"E 46TH AVE","E","5  Major Collector",60,4,4,10,5100,3,0.215
"1130",0.07,"N DECATUR ST","N","5  Major Collector",36,4,2,10,4900,3,0.07
"1131",0.2,"S RALEIGH ST","S","5  Major Collector",44,4,2,11,3600,3,0.84
"1132",0.12,"E 1ST AVE","E","5  Major Collector",36,4,2,11,6800,3,2.05
"1133",0.02,"N BROADWAY","N","3  Principal Arterial - Other",72,2.5,5,10,26000,1,1.59
"1134",0.06,"W HARVARD AVE","W","5  Major Collector",36,4,2,11,1500,3,1.37
"1135",0.07,"E 8TH AVE","E","4  Minor Arterial",44,4,3,10,12000,1,0.07
"1136",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other",44,4,4,10,25000,1,0.7
"1137",0.01,"N DAHLIA ST","N","5  Major Collector",30,4,2,10,5600,3,2.26
"1138",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",98,4,6,10,40000,1,0.1
"1139",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",62,4,4,10,32000,3,0.62
"1140",0.08,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",98,4,6,10,40000,1,0.3
"1141",0.06,"E 35TH AVE","E","5  Major Collector",34,4,2,11,4700,3,2.91
"1143",0.01,"N TENNYSON ST","N","5  Major Collector",20,4,2,10,4000,3,1.95
"1144",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other",30,4,2,10,33000,0,2.6
"1145",0.06,"S HOLLY ST","S","4  Minor Arterial",40,2.5,2,10,17000,3,1.53
"1146",0.05,"S SHERIDAN BLVD","S","4  Minor Arterial",100,4,4,10,13000,0,0.84
"1147",0.09,"N YORK ST","N","4  Minor Arterial",44,4,4,10,14000,0,1.79
"1148",0.14,"E MAXWELL PL","E","5  Major Collector",60,4,2,10,3500,3,0.49
"1149",0.07,"S LINCOLN ST","S","3  Principal Arterial - Other",44,1,4,10,23000,0,0.34
"1150",0.02,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,11,20000,3,1.5
"1151",0.06,"E 14TH AVE","E","4  Minor Arterial",36,4,3,10,8700,1,1.91
"1152",0.06,"W JEWELL AVE","W","5  Major Collector",48,1,2,11,6400,1,0.43
"1153",0.1,"E ANDREWS DR","E","5  Major Collector",94,4,2,10,4900,3,0.69
"1154",0.04,"S PATTON CT","S","5  Major Collector",36,4,2,10,1100,3,0.26
"1155",0.08,"WATER ST","NE","5  Major Collector",40,1,2,10,6600,3,0.11
"1156",0.05,"S TAMARAC DR","S","4  Minor Arterial",48,4,2,11,11000,0,0.28
"1157",0.07,"E ILIFF AVE","E","5  Major Collector",40,4,2,10,4100,3,2.94
"1158",0.03,"N MARION ST","N","5  Major Collector",30,4,3,10,5300,3,1.06
"1159",0.1,"S LINCOLN ST","S","3  Principal Arterial - Other",44,1,3,10,24000,0,1.07
"1160",0.06,"S STEELE ST","S","3  Principal Arterial - Other",84,4,4,10,33000,0,0.17
"1161",0.04,"E SMITH RD","E","4  Minor Arterial",22,1,2,10,5800,3,1.41
"1162",0.02,"E 6TH AVE","E","3  Principal Arterial - Other",44,4,3,10,22000,3,2.22
"1163",0.04,"N KNOX CT","N","5  Major Collector",20,4,2,10,5700,3,0.67
"1164",0.11,"N PERRY ST","N","5  Major Collector",36,4,2,12,3900,3,0.44
"1165",0.05,"E FLORIDA AVE","E","4  Minor Arterial",44,4,2,10,11000,3,1.965
"1166",0.07,"S DAYTON ST","S","5  Major Collector",40,4,2,12,8500,3,0.56
"1167",0.03,"S YOSEMITE ST","S","4  Minor Arterial",36,4,4,11,23000,1,0.21
"1168",0.06,"W HARVARD AVE","W","5  Major Collector",36,4,2,11,1500,3,0.95
"1169",0.07,"N KALAMATH ST","N","4  Minor Arterial",48,4,4,10,12000,3,1.56
"1170",0.04,"S DAHLIA ST","S","5  Major Collector",36,4,2,12,4000,3,0.49
"1172",0.045,"W ALAMEDA AVE","W","3  Principal Arterial - Other",20,4,4,10,28000,1,0.445
"1173",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",44,4,4,10,40000,1,0.25
"1174",0.08,"N IRVING ST","N","5  Major Collector",50,1,2,10,4000,3,0.25
"1175",0.03,"N SANTA FE DR","N","4  Minor Arterial",20,4,3,10,19000,3,0.12
"1176",0.08,"N SANTA FE DR","N","4  Minor Arterial",40,1,3,10,19000,3,0.08
"1177",0.047,"E 47TH AVENUE DR","SE","5  Major Collector",36,4,2,10,2100,3,0.047
"1178",0.06,"E 8TH AVE","E","4  Minor Arterial",44,1,2,10,12000,1,1.805
"1179",0.08,"N IRVING ST","N","5  Major Collector",28,1,2,11,4000,3,0.89
"1180",0.145,"N CROWN BLVD","NE","5  Major Collector",36,4,2,10,2000,3,1.825
"1181",0.01,"N YORK ST","N","4  Minor Arterial",40,4,2,10,6700,3,3.87
"1182",0.02,"E SPEER BLVD","SE","3  Principal Arterial - Other",44,4,4,10,26000,2,0.1
"1183",0.09,"N STEELE ST","N","5  Major Collector",40,4,2,10,19000,0,1.44
"1184",0.04,"S BROADWAY","S","3  Principal Arterial - Other",62,2.5,4,12,25000,0,2.24
"1185",0.05,"ARAPAHOE ST","NE","5  Major Collector",40,2.5,2,12,1300,2,1.06
"1186",0.09,"N BROADWAY","N","3  Principal Arterial - Other",72,4,5,10,28000,1,2.8
"1187",0.01,"E 6TH AVE","E","3  Principal Arterial - Other",48,4,4,10,30000,1,0.81
"1188",0.08,"N ZUNI ST","N","5  Major Collector",54,4,2,10,11000,3,0.08
"1189",0.1,"N CORONA ST","N","4  Minor Arterial",32,2.5,2,10,4300,3,0.845
"1190",0.09,"W 38TH AVE","W","4  Minor Arterial",68,4,4,10,21000,3,1.285
"1191",0.06,"E 8TH AVE","E","3  Principal Arterial - Other",36,4,3,10,18000,0,2.4
"1192",0.01,"S STEELE ST","S","5  Major Collector",20,4,2,10,3800,3,1.27
"1193",0.01,"W EVANS AVE","W","3  Principal Arterial - Other",20,2.5,4,12,32000,1,0.32
"1194",0.29,"STOUT ST","NE","4  Minor Arterial",30,4,3,10,6400,1,0.33
"1196",0.04,"N ZUNI ST","N","5  Major Collector",54,4,4,11,11000,1,0.16
"1197",0.06,"E 14TH AVE","E","4  Minor Arterial",32,4,3,10,8400,1,2.63
"1198",0.09,"STOUT ST","NE","4  Minor Arterial",48,1,3,10,9100,1,0.51
"1199",0.08,"W 38TH AVE","W","4  Minor Arterial",68,4,4,10,21000,3,0.54
"1200",0.02,"E 6TH AVE","E","3  Principal Arterial - Other",60,4,5,10,30000,0,0.7
"1202",0.01,"N BROADWAY","N","3  Principal Arterial - Other",72,2.5,4,10,24000,1,1.37
"1203",0.06,"S IRVING ST","S","5  Major Collector",40,4,2,10,4100,3,0.97
"1204",0.03,"19TH ST","NW","4  Minor Arterial",66,4,4,10,8500,0,0.59
"1205",0.04,"W 11TH AVE","W","5  Major Collector",36,1,2,10,8900,3,0.75
"1206",0.06,"W 52ND AVE","W","4  Minor Arterial",28,4,2,10,6000,3,0.12
"1207",0.06,"E 29TH AVE","E","5  Major Collector",36,2.5,3,11,3400,3,0.06
"1208",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other",44,4,4,10,32000,3,0.49
